LapNumber,Driver,DriverNumber,Team,Position,LapTime,IsPersonalBest,Sector1Time,Sector2Time,Sector3Time,Compound,PitInTime,PitOutTime,PitStopDuration,FinishingPosition,GridPosition,FinalStatus,Season,RaceName,RaceType
1.0,VET,5,Ferrari,1.0,0 days 00:02:29.572000,False,,0 days 00:01:09.227000,0 days 00:00:46.208000,nan,0 days 00:21:00.165000,0 days 00:21:19.726000,0 days 00:00:19.561000,1.0,2.0,Finished,2018,GP Belgica,historica
2.0,VET,5,Ferrari,1.0,,False,0 days 00:00:59.569000,0 days 00:01:15.386000,0 days 00:00:45.096000,nan,,,,1.0,2.0,Finished,2018,GP Belgica,historica
3.0,VET,5,Ferrari,1.0,,False,0 days 00:00:53.832000,0 days 00:01:14.346000,0 days 00:00:42.881000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
4.0,VET,5,Ferrari,1.0,,False,0 days 00:00:50.630000,0 days 00:01:13.585000,0 days 00:00:57.284000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
5.0,VET,5,Ferrari,1.0,0 days 00:01:48.656000,True,0 days 00:00:31.560000,0 days 00:00:47.948000,0 days 00:00:29.148000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
6.0,VET,5,Ferrari,1.0,0 days 00:01:48.923000,False,0 days 00:00:31.706000,0 days 00:00:47.823000,0 days 00:00:29.394000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
7.0,VET,5,Ferrari,1.0,0 days 00:01:48.695000,False,0 days 00:00:31.747000,0 days 00:00:47.660000,0 days 00:00:29.288000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
8.0,VET,5,Ferrari,1.0,0 days 00:01:48.646000,True,0 days 00:00:31.609000,0 days 00:00:47.746000,0 days 00:00:29.291000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
9.0,VET,5,Ferrari,1.0,0 days 00:01:49.046000,False,0 days 00:00:31.690000,0 days 00:00:47.915000,0 days 00:00:29.441000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
10.0,VET,5,Ferrari,1.0,0 days 00:01:48.749000,False,0 days 00:00:31.662000,0 days 00:00:47.794000,0 days 00:00:29.293000,SUPERSOFT,,,,1.0,2.0,Finished,2018,GP Belgica,historica
