LapNumber,Driver,TyreLife,Compound
1.0,VET,,nan
2.0,VET,,nan
3.0,VET,5.0,SUPERSOFT
4.0,VET,6.0,SUPERSOFT
5.0,VET,7.0,SUPERSOFT
6.0,VET,8.0,SUPERSOFT
7.0,VET,9.0,SUPERSOFT
8.0,VET,10.0,SUPERSOFT
9.0,VET,11.0,SUPERSOFT
10.0,VET,12.0,SUPERSOFT
11.0,VET,13.0,SUPERSOFT
12.0,VET,14.0,SUPERSOFT
13.0,VET,15.0,SUPERSOFT
14.0,VET,16.0,SUPERSOFT
15.0,VET,17.0,SUPERSOFT
16.0,VET,18.0,SUPERSOFT
17.0,VET,19.0,SUPERSOFT
18.0,VET,20.0,SUPERSOFT
19.0,VET,21.0,SUPERSOFT
20.0,VET,22.0,SUPERSOFT
21.0,VET,23.0,SUPERSOFT
22.0,VET,24.0,SUPERSOFT
23.0,VET,1.0,SOFT
24.0,VET,2.0,SOFT
25.0,VET,3.0,SOFT
26.0,VET,4.0,SOFT
27.0,VET,5.0,SOFT
28.0,VET,6.0,SOFT
29.0,VET,7.0,SOFT
30.0,VET,8.0,SOFT
31.0,VET,9.0,SOFT
32.0,VET,10.0,SOFT
33.0,VET,11.0,SOFT
34.0,VET,12.0,SOFT
35.0,VET,13.0,SOFT
36.0,VET,14.0,SOFT
37.0,VET,15.0,SOFT
38.0,VET,16.0,SOFT
39.0,VET,17.0,SOFT
40.0,VET,18.0,SOFT
41.0,VET,19.0,SOFT
42.0,VET,20.0,SOFT
43.0,VET,21.0,SOFT
44.0,VET,22.0,SOFT
1.0,HAM,,nan
2.0,HAM,5.0,SUPERSOFT
3.0,HAM,6.0,SUPERSOFT
4.0,HAM,7.0,SUPERSOFT
5.0,HAM,8.0,SUPERSOFT
6.0,HAM,9.0,SUPERSOFT
7.0,HAM,10.0,SUPERSOFT
8.0,HAM,11.0,SUPERSOFT
9.0,HAM,12.0,SUPERSOFT
10.0,HAM,13.0,SUPERSOFT
11.0,HAM,14.0,SUPERSOFT
12.0,HAM,15.0,SUPERSOFT
13.0,HAM,16.0,SUPERSOFT
14.0,HAM,17.0,SUPERSOFT
15.0,HAM,18.0,SUPERSOFT
16.0,HAM,19.0,SUPERSOFT
17.0,HAM,20.0,SUPERSOFT
18.0,HAM,21.0,SUPERSOFT
19.0,HAM,22.0,SUPERSOFT
20.0,HAM,23.0,SUPERSOFT
21.0,HAM,24.0,SUPERSOFT
22.0,HAM,1.0,SOFT
23.0,HAM,2.0,SOFT
24.0,HAM,3.0,SOFT
25.0,HAM,4.0,SOFT
26.0,HAM,5.0,SOFT
27.0,HAM,6.0,SOFT
28.0,HAM,7.0,SOFT
29.0,HAM,8.0,SOFT
30.0,HAM,9.0,SOFT
31.0,HAM,10.0,SOFT
32.0,HAM,11.0,SOFT
33.0,HAM,12.0,SOFT
34.0,HAM,13.0,SOFT
35.0,HAM,14.0,SOFT
36.0,HAM,15.0,SOFT
37.0,HAM,16.0,SOFT
38.0,HAM,17.0,SOFT
39.0,HAM,18.0,SOFT
40.0,HAM,19.0,SOFT
41.0,HAM,20.0,SOFT
