LapNumber_In,Driver,PitInTime,LapNumber_Out,PitOutTime,PitStopDuration
11.0,HAM,0 days 01:15:24.524000,12.0,0 days 01:15:47.722000,0 days 00:00:23.198000
11.0,HAM,0 days 01:15:24.524000,27.0,0 days 01:43:09.642000,0 days 00:27:45.118000
26.0,HAM,0 days 01:42:46.977000,12.0,0 days 01:15:47.722000,-1 days +23:33:00.745000
26.0,HAM,0 days 01:42:46.977000,27.0,0 days 01:43:09.642000,0 days 00:00:22.665000
11.0,PIA,0 days 01:15:30.513000,12.0,0 days 01:15:53.197000,0 days 00:00:22.684000
11.0,PIA,0 days 01:15:30.513000,31.0,0 days 01:50:25.654000,0 days 00:34:55.141000
30.0,PIA,0 days 01:50:01.410000,12.0,0 days 01:15:53.197000,-1 days +23:25:51.787000
30.0,PIA,0 days 01:50:01.410000,31.0,0 days 01:50:25.654000,0 days 00:00:24.244000
12.0,LEC,0 days 01:17:16.307000,13.0,0 days 01:17:39.684000,0 days 00:00:23.377000
12.0,LEC,0 days 01:17:16.307000,26.0,0 days 01:41:25.239000,0 days 00:24:08.932000
25.0,LEC,0 days 01:41:01.845000,13.0,0 days 01:17:39.684000,-1 days +23:36:37.839000
25.0,LEC,0 days 01:41:01.845000,26.0,0 days 01:41:25.239000,0 days 00:00:23.394000
10.0,VER,0 days 01:13:44.188000,11.0,0 days 01:14:07.325000,0 days 00:00:23.137000
10.0,VER,0 days 01:13:44.188000,29.0,0 days 01:46:56.099000,0 days 00:33:11.911000
28.0,VER,0 days 01:46:33.171000,11.0,0 days 01:14:07.325000,-1 days +23:27:34.154000
28.0,VER,0 days 01:46:33.171000,29.0,0 days 01:46:56.099000,0 days 00:00:22.928000
15.0,NOR,0 days 01:22:52.183000,16.0,0 days 01:23:14.930000,0 days 00:00:22.747000
15.0,NOR,0 days 01:22:52.183000,30.0,0 days 01:48:44.341000,0 days 00:25:52.158000
29.0,NOR,0 days 01:48:21.728000,16.0,0 days 01:23:14.930000,-1 days +23:34:53.202000
29.0,NOR,0 days 01:48:21.728000,30.0,0 days 01:48:44.341000,0 days 00:00:22.613000
20.0,SAI,0 days 01:31:56.204000,21.0,0 days 01:32:19.120000,0 days 00:00:22.916000
20.0,SAI,0 days 01:31:56.204000,29.0,0 days 01:47:02.859000,0 days 00:15:06.655000
28.0,SAI,0 days 01:46:39.831000,21.0,0 days 01:32:19.120000,-1 days +23:45:39.289000
28.0,SAI,0 days 01:46:39.831000,29.0,0 days 01:47:02.859000,0 days 00:00:23.028000
11.0,PER,0 days 01:15:29.327000,12.0,0 days 01:15:51.964000,0 days 00:00:22.637000
