Driver,FisingPosition,GridPosition,FinialStatus
VER,1.0,6.0,Finished
PER,2.0,2.0,Finished
LEC,3.0,1.0,Finished
HAM,4.0,3.0,Finished
ALO,5.0,9.0,Finished
RUS,6.0,8.0,Finished
NOR,7.0,7.0,Finished
OCO,8.0,14.0,Finished
STR,9.0,10.0,Finished
TSU,10.0,11.0,Finished
GAS,11.0,12.0,Finished
BOT,12.0,13.0,Finished
ZHO,13.0,17.0,Finished
ALB,14.0,15.0,Finished
MAG,15.0,16.0,Finished
RIC,16.0,19.0,Finished
SAR,17.0,18.0,Finished
HUL,18.0,0.0,Finished
SAI,19.0,4.0,Collision damage
PIA,20.0,5.0,Collision damage
