LapNumber,Driver,Team,LapTime,Position,IsPersonalBest,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time
1.0,GAS,AlphaTauri,0 days 00:01:59.301000,11.0,False,HARD,1.0,,0 days 00:00:53.392000,0 days 00:00:29.654000
2.0,GAS,AlphaTauri,0 days 00:01:52.409000,9.0,True,HARD,2.0,0 days 00:00:31.997000,0 days 00:00:50.699000,0 days 00:00:29.713000
3.0,GAS,AlphaTauri,0 days 00:01:51.368000,8.0,True,HARD,3.0,0 days 00:00:30.935000,0 days 00:00:50.680000,0 days 00:00:29.753000
4.0,GAS,AlphaTauri,0 days 00:01:51.903000,8.0,False,HARD,4.0,0 days 00:00:31.226000,0 days 00:00:50.977000,0 days 00:00:29.700000
5.0,GAS,AlphaTauri,0 days 00:01:51.803000,8.0,False,HARD,5.0,0 days 00:00:31.110000,0 days 00:00:50.726000,0 days 00:00:29.967000
6.0,GAS,AlphaTauri,0 days 00:01:51.629000,8.0,False,HARD,6.0,0 days 00:00:31.221000,0 days 00:00:50.652000,0 days 00:00:29.756000
7.0,GAS,AlphaTauri,0 days 00:01:51.773000,8.0,False,HARD,7.0,0 days 00:00:31.214000,0 days 00:00:50.766000,0 days 00:00:29.793000
8.0,GAS,AlphaTauri,0 days 00:01:51.915000,8.0,False,HARD,8.0,0 days 00:00:30.924000,0 days 00:00:51.182000,0 days 00:00:29.809000
9.0,GAS,AlphaTauri,0 days 00:01:51.679000,8.0,False,HARD,9.0,0 days 00:00:31.283000,0 days 00:00:50.607000,0 days 00:00:29.789000
10.0,GAS,AlphaTauri,0 days 00:01:52.989000,8.0,False,HARD,10.0,0 days 00:00:31.709000,0 days 00:00:50.035000,0 days 00:00:31.245000
11.0,GAS,AlphaTauri,,7.0,False,HARD,11.0,0 days 00:00:49.969000,0 days 00:01:06.284000,0 days 00:00:35.178000
12.0,GAS,AlphaTauri,,4.0,False,HARD,12.0,0 days 00:00:43.694000,0 days 00:01:20.797000,0 days 00:00:46.024000
13.0,GAS,AlphaTauri,,4.0,False,HARD,13.0,0 days 00:00:44.690000,0 days 00:01:24.637000,0 days 00:00:49.689000
14.0,GAS,AlphaTauri,,4.0,False,HARD,14.0,0 days 00:00:45.680000,0 days 00:01:11.383000,0 days 00:00:46.561000
15.0,GAS,AlphaTauri,0 days 00:01:51.631000,4.0,False,HARD,15.0,0 days 00:00:31.121000,0 days 00:00:50.812000,0 days 00:00:29.698000
16.0,GAS,AlphaTauri,0 days 00:01:50.314000,4.0,True,HARD,16.0,0 days 00:00:31.511000,0 days 00:00:49.286000,0 days 00:00:29.517000
17.0,GAS,AlphaTauri,0 days 00:01:50.343000,4.0,False,HARD,17.0,0 days 00:00:31.576000,0 days 00:00:49.123000,0 days 00:00:29.644000
18.0,GAS,AlphaTauri,0 days 00:01:50.295000,4.0,True,HARD,18.0,0 days 00:00:31.539000,0 days 00:00:49.102000,0 days 00:00:29.654000
19.0,GAS,AlphaTauri,0 days 00:01:50.780000,4.0,False,HARD,19.0,0 days 00:00:31.635000,0 days 00:00:49.499000,0 days 00:00:29.646000
20.0,GAS,AlphaTauri,0 days 00:01:50.575000,4.0,False,HARD,20.0,0 days 00:00:31.573000,0 days 00:00:49.372000,0 days 00:00:29.630000
21.0,GAS,AlphaTauri,0 days 00:01:51.698000,5.0,False,HARD,21.0,0 days 00:00:31.553000,0 days 00:00:50.596000,0 days 00:00:29.549000
22.0,GAS,AlphaTauri,0 days 00:01:50.405000,5.0,False,HARD,22.0,0 days 00:00:31.424000,0 days 00:00:49.362000,0 days 00:00:29.619000
23.0,GAS,AlphaTauri,0 days 00:01:50.498000,5.0,False,HARD,23.0,0 days 00:00:31.515000,0 days 00:00:49.347000,0 days 00:00:29.636000
24.0,GAS,AlphaTauri,0 days 00:01:51.730000,6.0,False,HARD,24.0,0 days 00:00:31.552000,0 days 00:00:50.583000,0 days 00:00:29.595000
25.0,GAS,AlphaTauri,0 days 00:01:50.768000,6.0,False,HARD,25.0,0 days 00:00:31.349000,0 days 00:00:49.671000,0 days 00:00:29.748000
26.0,GAS,AlphaTauri,0 days 00:01:55.857000,10.0,False,HARD,26.0,0 days 00:00:31.463000,0 days 00:00:50.473000,0 days 00:00:33.921000
27.0,GAS,AlphaTauri,0 days 00:02:02.065000,16.0,False,MEDIUM,1.0,0 days 00:00:45.228000,0 days 00:00:47.663000,0 days 00:00:29.174000
